,year,parameter,result,latitude,longitude
4557,2008,DDT,0.67,17.9361,-66.2414
4559,2008,DDT,0.06,17.9299,-66.2121
4560,2008,PAH,1381.1,17.9361,-66.2414
4561,2008,PAH,46.4,17.9402,-66.2886
4562,2008,PAH,220.2,17.9508,-66.2923
4563,2008,PAH,2612.9,17.9409,-66.238
4564,2008,PAH,402.7,17.9508,-66.2119
4565,2008,DDT,0.12,17.9607,-66.3023
4566,2008,DDT,0.29,17.9341,-66.2358
4567,2008,DDT,0.28,17.9383,-66.2475
4568,2008,DDT,0.3,17.9386,-66.2577
4569,2008,DDT,0.07,17.9248,-66.211
4570,2008,DDT,0.49,17.9268,-66.2408
4571,2008,DDT,0.74,17.9537,-66.2892
4572,2008,DDT,1.48,17.9478,-66.2037
4573,2008,DDT,0.85,17.9578,-66.2038
4574,2008,DDT,0.1,17.9448,-66.2909
4575,2008,DDT,2.1,17.9353,-66.2385
4576,2008,DDT,0.47,17.9335,-66.2444
4577,2008,DDT,0.13,17.9359,-66.2883
4578,2008,DDT,0.35,17.9445,-66.2978
4579,2008,DDT,0.19,17.9176,-66.2415
4580,2008,DDT,0.05,17.9302,-66.2094
4581,2008,DDT,1.07,17.9442,-66.1892
4582,2008,DDT,0.1,17.9303,-66.2408
4583,2008,DDT,2.69,17.9508,-66.2119
4584,2008,PCB,0.34,17.9508,-66.2923
4585,2008,PCB,0.9,17.9383,-66.2475
4586,2008,PCB,0.78,17.9537,-66.2892
4587,2008,PCB,2.55,17.9449,-66.1816
4588,2008,PCB,0.04,17.9592,-66.3074
4589,2008,PCB,1.4,17.9451,-66.2729
4590,2008,PCB,0.03,17.9193,-66.2182
4591,2008,PCB,0.3,17.9448,-66.2909
4592,2008,PCB,0.07,17.9299,-66.2121
4593,2008,PCB,5.2,17.9555,-66.2181
4594,2008,PCB,0.79,17.9332,-66.2249
4595,2008,PCB,2.96,17.9386,-66.2577
4596,2008,PCB,4.58,17.9478,-66.2037
4597,2008,PCB,0.8,17.9199,-66.2254
4598,2008,PCB,9.56,17.9391,-66.1852
4599,2008,PCB,1.21,17.953,-66.2208
4600,2008,PCB,0.53,17.9303,-66.2408
4601,2008,PCB,0.42,17.9398,-66.2696
4602,2008,PCB,1.98,17.95,-66.1766
4603,2008,PCB,0.53,17.9341,-66.2358
4604,2008,PCB,3.97,17.9578,-66.2038
4605,2008,PCB,0.47,17.9302,-66.2094
4606,2008,PCB,3.71,17.9442,-66.1892
4607,2008,PCB,1.46,17.9335,-66.2444
4608,2008,PCB,0.05,17.9643,-66.3123
4609,2008,PCB,2.25,17.9268,-66.2408
