latitude,longitude,parameter,result,year
26.11865747,-97.21317471,PAH,9.848436962,2018
57.72466087,-134.2120043,PAH,156.1989348,2018
60.78656008,-146.8384495,PAH,50.98976494,2018
41.99086353,-81.82733294,PAH,0,2018
43.84211944,-83.32249444,PAH,2.724717829,2018
43.20738156,-87.08998511,PAH,256.6166774,2018
43.55777368,-77.30193158,PAH,1.215882995,2018
42.42063636,-81.196,PAH,141.4203804,2018
25.97660661,-81.56041762,PAH,67.40120544,2018
29.6674712,-92.51299674,PAH,45.56636868,2018
29.65707901,-89.74533002,PAH,127.2357964,2018
30.47038119,-88.08267129,PAH,70.5232961,2018
23.83579606,-165.2440055,PAH,0.080183958,2018
41.097595,-73.96844,PAH,3767.63525,2018
-14.29039618,-170.6827004,PAH,0,2018
14.96590075,145.6189314,PAH,0,2018
56.95101087,-140.1066283,PCB,10.83565217,2018
59.53206201,-151.2091755,PCB,4.033736787,2018
25.49541176,-80.29502941,PCB,17.33142857,2018
25.8112697,-80.16938106,PCB,78.59728725,2018
27.12928286,-80.23228,PCB,0,2018
39.07070385,-76.32366538,PCB,35.55826126,2018
37.22817802,-76.34695275,PCB,7.614066454,2018
38.14260203,-76.24584348,PCB,5.232565217,2018
35.40735889,-76.68892867,PCB,0,2018
39.39860288,-75.26584615,PCB,44.66995192,2018
38.9258,-74.8137,PCB,0,2018
42.24520294,-70.58481765,PCB,8.543235294,2018
32.1016322,-81.06728814,PCB,2.266152542,2018
29.62122338,-84.20823247,PCB,18.57362338,2018
30.37339295,-86.4038391,PCB,51.00999267,2018
29.3959759,-94.95791436,PCB,32.99208336,2018
29.85842805,-93.89080976,PCB,5.559222582,2018
27.83497636,-82.57614606,PCB,121.0931838,2018
17.94216753,-66.97631184,PCB,66.96282828,2018
17.93630333,-66.24911667,PCB,1.565333333,2018
18.31288815,-64.85590248,PCB,3.221592947,2018
18.12418407,-65.41099912,PCB,0.22562929,2018
38.16668462,-123.4650231,PCB,1.628461538,2018
36.55582198,-121.8925901,PCB,2.167142857,2018
37.32079917,-122.6698479,PCB,1.149917355,2018
37.9854,-122.2890231,PCB,153.1887639,2018
48.07410833,-122.3555833,PCB,37.46333333,2018
37.65645122,-122.2506939,PCB,40.9195122,2018
28.33291569,-96.68252304,PCB,7.741437448,2018
26.1192775,-97.213695,PCB,18.51211667,2018
57.7581,-134.2853143,PCB,14.43309524,2018
60.86267524,-147.1230455,PCB,2.87437463,2018
41.99086353,-81.82733294,PCB,200.8667832,2018
43.84211944,-83.32249444,PCB,97.15928704,2018
43.20752817,-87.08475211,PCB,390.2974601,2018
43.55777368,-77.30193158,PCB,57.85535965,2018
42.4922,-81.0532,PCB,101.936,2018
46.7109,-92.0224,PCB,0,2018
25.976602,-81.553833,PCB,16.67931,2018
29.67312375,-92.52442375,PCB,9.112202147,2018
29.65454426,-89.73159574,PCB,20.18143107,2018
30.4759087,-88.0815,PCB,9.968931988,2018
23.94419508,-165.5518689,PCB,18.7503645,2018
41.097595,-73.96844,PCB,466.9251511,2018
-14.29039618,-170.6827004,PCB,8.624117647,2018
14.96590075,145.6189314,PCB,0.4475,2018
56.95101087,-140.1066283,DDT,4.227870835,2018
59.53206201,-151.2091755,DDT,3.211823801,2018
25.49541176,-80.29502941,DDT,3.585042017,2018
25.8112697,-80.16938106,DDT,16.81530303,2018
27.13408624,-80.23518716,DDT,17.35895798,2018
39.07070385,-76.32366538,DDT,7.725658164,2018
37.22817802,-76.34695275,DDT,3.540769231,2018
38.14260203,-76.24584348,DDT,1.346333333,2018
35.41391042,-76.66691134,DDT,0.46675,2018
39.36648875,-75.27368625,DDT,25.6710375,2018
38.9258,-74.8137,DDT,0,2018
42.24520294,-70.58481765,DDT,1.569411765,2018
32.1016322,-81.06728814,DDT,0.393449153,2018
29.60952584,-84.22597191,DDT,5.675396732,2018
30.37117853,-86.39012768,DDT,100.3685857,2018
29.40383192,-94.95296573,DDT,15.68200105,2018
29.85528256,-93.89153023,DDT,1.179717247,2018
27.82774409,-82.57658226,DDT,52.64,2018
17.94216753,-66.97631184,DDT,3.074545455,2018
17.93630333,-66.24911667,DDT,0.382666664,2018
18.31288815,-64.85590248,DDT,0.132369884,2018
18.12418407,-65.41099912,DDT,0,2018
38.16668462,-123.4650231,DDT,2.886923077,2018
36.55582198,-121.8925901,DDT,7.063296703,2018
37.32079917,-122.6698479,DDT,3.008347107,2018
37.9854,-122.2890231,DDT,17.27826923,2018
48.07410833,-122.3555833,DDT,6.171666667,2018
37.65645122,-122.2506939,DDT,13.70170732,2018
28.32816118,-96.6885898,DDT,1.311491828,2018
26.11371064,-97.21090638,DDT,5.994985063,2018
57.7581,-134.2853143,DDT,2.525619048,2018
60.88569083,-147.1143523,DDT,1.291041667,2018
41.99086353,-81.82733294,DDT,20.95134333,2018
43.84211944,-83.32249444,DDT,23.72610185,2018
43.21373286,-87.09717714,DDT,68.79174286,2018
43.55777368,-77.30193158,DDT,15.04700255,2018
42.4922,-81.0532,DDT,18.26509878,2018
46.7109,-92.0224,DDT,0,2018
26.00338547,-81.58718803,DDT,4.312152803,2018
29.65492887,-92.48562784,DDT,3.997047343,2018
29.65959293,-89.73600813,DDT,7.087440427,2018
30.46559804,-88.08478431,DDT,129.2767931,2018
23.67387647,-164.7730338,DDT,0.074682966,2018
41.097595,-73.96844,DDT,53.8455,2018
-14.29039618,-170.6827004,DDT,0.223529412,2018
14.96590075,145.6189314,DDT,0,2018
