State,County,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
California,Sacramento,2003-11-30,20.233219500000008,37.016666666666666,14.416666666666666,34.983333333333334,0.015234233333333336,0.0266,9.766666666666667,22.566666666666666,0.6899047333333334,1.2433333333333332,8.85,,0.7664583833333333,1.403333333333333,9.95,16.0,38.558415499999995,-121.35285016666651
California,Sacramento,2003-12-31,14.9804775,28.97826086956522,13.347826086956522,27.304347826086957,0.01605145652173913,0.025630434782608708,11.521739130434783,21.695652173913043,0.6765216739130435,1.1608695652173913,10.021739130434783,,0.6309480869565217,1.108695652173913,8.73913043478261,12.695652173913043,38.539158630434805,-121.34757578985499
California,Sacramento,2004-01-31,16.056107322580644,28.419354838709676,13.516129032258064,26.774193548387096,0.00942025806451613,0.01677419354838711,9.516129032258064,14.258064516129032,0.7640253548387098,2.774193548387097,4.32258064516129,3.967741935483871,0.7185151935483873,2.3419354838709676,10.35483870967742,,38.50305200000002,-121.33768633333331
California,Sacramento,2004-02-29,17.304702448275854,36.0,14.862068965517242,33.0,0.020007310344827587,0.03265517241379312,10.172413793103448,27.79310344827586,0.41193693103448276,0.9655172413793104,4.172413793103448,1.103448275862069,0.5162291724137931,1.2965517241379312,11.413793103448276,,38.50305200000002,-121.33768633333331
California,Sacramento,2004-03-31,13.966406137931035,30.20689655172414,15.448275862068966,28.551724137931036,0.023046931034482753,0.03968965517241381,9.310344827586206,33.689655172413794,0.3838080689655173,0.9655172413793104,4.655172413793103,1.103448275862069,0.4847351724137931,1.2,12.862068965517242,,38.50305200000002,-121.33768633333331
California,Sacramento,2004-04-30,11.093695599999998,29.333333333333332,11.566666666666666,27.666666666666668,0.032792066666666675,0.04946666666666667,10.466666666666667,42.8,0.2970290333333334,2.7,4.1,3.8,0.38255106666666666,0.7799999999999999,11.1,,38.50305200000002,-121.33768633333331
California,Sacramento,2004-05-31,8.802511225806452,20.838709677419356,9.483870967741936,19.612903225806452,0.03623599999999999,0.05322580645161289,10.483870967741936,50.096774193548384,0.5041741290322581,1.6129032258064515,3.4838709677419355,2.064516129032258,0.30492222580645156,0.570967741935484,7.032258064516129,,38.50305200000002,-121.33768633333331
California,Sacramento,2004-06-30,8.103686685714287,17.2,11.971428571428572,16.17142857142857,0.03507065714285714,0.054057142857142866,10.8,47.542857142857144,0.6790949714285713,1.8142857142857138,7.257142857142857,3.727272727272727,0.3148414857142858,0.5171428571428571,8.314285714285715,,38.52519740000002,-121.34375186666665
California,Sacramento,2004-07-31,8.948813387096775,15.03225806451613,10.419354838709678,14.14516129032258,0.03161790322580646,0.05451612903225807,11.064516129032258,51.29032258064516,0.9644162903225809,1.8629032258064508,6.596774193548387,,0.29960862903225804,0.41935483870967727,7.112903225806452,,38.55841549999999,-121.35285016666651
California,Sacramento,2004-08-31,10.722444489795917,21.73469387755102,13.408163265306122,20.448979591836736,0.030506346938775516,0.05520408163265304,10.714285714285714,56.204081632653065,0.8014382653061224,1.5326530612244893,7.63265306122449,,0.33935418367346953,0.6163265306122451,8.959183673469388,,38.543727224489814,-121.34882710884344
California,Sacramento,2004-09-30,16.18228728813559,36.152542372881356,14.440677966101696,34.186440677966104,0.029009423728813568,0.053169491525423725,10.610169491525424,53.644067796610166,0.4385229830508476,1.015254237288136,8.457627118644067,,0.44934152542372874,1.0661016949152542,12.016949152542374,,38.55747713559322,-121.35259315254223
California,Sacramento,2004-10-31,16.228977999999998,32.421052631578945,14.403508771929825,30.666666666666668,0.020998245614035085,0.03668421052631578,9.824561403508772,32.70175438596491,0.3419799298245614,0.773684210526316,8.052631578947368,,0.49404468421052633,1.1350877192982454,11.228070175438596,,38.553559052631584,-121.35152000584782
California,Sacramento,2004-11-30,20.304554904761908,36.42857142857143,16.571428571428573,34.38095238095238,0.007779047619047618,0.016857142857142862,8.857142857142858,14.19047619047619,0.44562352380952386,0.8047619047619047,8.142857142857142,,0.689865380952381,1.7809523809523808,12.095238095238095,,38.50305200000001,-121.33768633333332
California,Sacramento,2004-12-31,17.0179788367347,28.857142857142858,12.346938775510203,27.183673469387756,0.007231897959183671,0.012285714285714292,8.551020408163266,10.448979591836734,0.42193391836734695,0.8734693877551021,8.73469387755102,,0.6704758571428572,1.5448979591836733,9.428571428571429,,38.54598695918369,-121.34944604081622
California,Sacramento,2005-01-31,14.200542451612911,24.29032258064516,12.67741935483871,22.951612903225808,0.0072109677419354866,0.013129032258064523,8.758064516129032,11.193548387096774,0.2570199516129032,0.5338709677419357,7.274193548387097,,0.5456238225806449,0.7951612903225808,11.03225806451613,9.14516129032258,38.55841549999999,-121.35285016666651
California,Sacramento,2005-02-28,13.385402660714288,28.482142857142858,12.089285714285714,26.875,0.011651303571428573,0.022000000000000013,10.125,18.660714285714285,0.3733886071428571,0.8821428571428572,10.303571428571429,,0.5430039642857144,0.9125000000000002,7.785714285714286,10.5,38.55841550000001,-121.35285016666653
California,Sacramento,2005-03-31,9.579565885245904,23.327868852459016,14.704918032786885,22.0327868852459,0.021933213114754102,0.03734426229508197,9.754098360655737,31.65573770491803,0.5200936557377049,0.8032786885245903,7.262295081967213,,0.43584859016393435,0.6737704918032786,7.278688524590164,7.704918032786885,38.55750790163934,-121.35260157923483
California,Sacramento,2005-04-30,8.396583166666664,21.87037037037037,12.074074074074074,20.74074074074074,0.02642057407407406,0.04224074074074074,10.537037037037036,35.7962962962963,0.273368537037037,0.5444444444444445,4.333333333333333,,0.35231481481481486,0.48703703703703716,6.277777777777778,5.481481481481482,38.56456700000002,-121.35453503703692
California,Sacramento,2005-05-31,6.074933489795916,14.16326530612245,11.979591836734693,13.36734693877551,0.025798857142857137,0.04191836734693878,10.653061224489797,38.04081632653061,0.941895,1.4448979591836735,6.285714285714286,,0.4534843265306123,0.5326530612244897,5.020408163265306,6.204081632653061,38.57310377551022,-121.35687322448973
California,Sacramento,2005-06-30,5.86106911764706,13.852941176470589,11.117647058823529,12.970588235294118,0.030998176470588237,0.05176470588235296,10.794117647058824,48.05882352941177,1.1819992647058826,1.7441176470588236,6.323529411764706,,0.6688834705882352,0.761764705882353,6.617647058823529,8.647058823529411,38.60075229411766,-121.36444603921572
California,Sacramento,2005-07-31,6.258016405405406,13.513513513513514,11.702702702702704,12.64864864864865,0.039174702702702714,0.06897297297297299,10.72972972972973,85.13513513513513,1.652220054054054,2.556756756756756,6.702702702702703,,0.6254802972972971,0.6945945945945947,4.135135135135135,7.837837837837838,38.59582327027029,-121.36309600000001
California,Sacramento,2005-08-31,10.018500629032259,22.806451612903224,12.96774193548387,21.516129032258064,0.03013245161290323,0.05738709677419356,10.82258064516129,58.38709677419355,1.0459734838709673,1.8758064516129025,6.596774193548387,,0.40981354838709666,0.5274193548387097,7.258064516129032,6.225806451612903,38.55841549999999,-121.35285016666651
California,Sacramento,2005-09-30,11.991255333333333,25.95,14.683333333333334,24.483333333333334,0.025981033333333334,0.04675,10.55,41.6,0.6682638666666666,1.5249999999999992,7.9,,0.3731154833333334,0.5483333333333333,7.983333333333333,6.25,38.558415499999995,-121.35285016666651
California,Sacramento,2005-10-31,14.206148838709684,30.741935483870968,15.370967741935484,29.016129032258064,0.020538854838709673,0.03956451612903225,10.03225806451613,33.82258064516129,0.5056297903225806,1.119354838709677,8.774193548387096,,0.4920174193548387,0.7887096774193546,8.112903225806452,8.96774193548387,38.55841549999999,-121.35285016666651
California,Sacramento,2005-11-30,17.138397450000003,30.8,15.9,29.1,0.013499733333333331,0.026833333333333334,9.95,22.7,0.6255713833333332,1.0999999999999999,9.3,,0.760625,1.2950000000000002,6.35,14.833333333333334,38.558415499999995,-121.35285016666651
