,Unnamed: 0,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date,State,County,City
99,1315,11.87096774,2.709677419,39.19354839,30.61290323,32.67618,-115.48307,3,2010/3/1,,,
100,1329,13.23333333,1.833333333,39.3,28.8,32.67618,-115.48307,3,2010/4/1,,,
101,1344,9.709677419,2.096774194,42.90322581,22.19354839,32.67618,-115.48307,0,2010/5/1,,,
102,1359,11.9,3.7,51.73333333,28.2,32.67618,-115.48307,0,2010/6/1,,,
103,1375,10.61290323,4.387096774,38.64516129,20.58064516,32.67618,-115.48307,0,2010/7/1,,,
104,1406,11.86206897,1.655172414,42.86206897,32.44827586,32.67618,-115.48307,2,2010/9/1,,,
105,1448,20.03448276,2,22.13793103,34.75862069,32.67618,-115.48307,3,2010/12/1,,,
106,1462,22.06896552,2.206896552,27.55172414,38.72413793,32.67618,-115.48307,4,2011/1/1,,,
107,1500,13.14285714,1.75,31.92857143,35.5,32.67618,-115.48307,2,2011/2/1,,,
108,1539,12.51612903,1.612903226,38.51612903,30.51612903,32.67618,-115.48307,4,2011/3/1,,,
109,1581,10.1,1.933333333,41.56666667,24.13333333,32.67618,-115.48307,1,2011/4/1,,,
110,1624,9.741935484,2.35483871,51.67741935,27.64516129,32.67618,-115.48307,2,2011/5/1,,,
111,1667,8.933333333,3.166666667,55.16666667,28.73333333,32.67618,-115.48307,0,2011/6/1,,,
112,1750,8.193548387,2.903225806,36.5483871,21.64516129,32.67618,-115.48307,1,2011/8/1,,,
113,1831,16.51612903,1.741935484,30.64516129,36.83870968,32.67618,-115.48307,1,2011/10/1,,,
114,1871,24.03333333,1.933333333,25.13333333,37.83333333,32.67618,-115.48307,1,2011/11/1,,,
115,1908,29.64516129,2.193548387,19.29032258,33.74193548,32.67618,-115.48307,4,2011/12/1,,,
116,2407,16.22580645,1.612903226,32.22580645,34.29032258,32.67618,-115.48307,4,2013/1/1,,,
117,2453,15.42857143,1.714285714,36.82142857,31.39285714,32.67618,-115.48307,2,2013/2/1,,,
118,3389,14.16129032,1.64516129,33.74193548,35.03225806,32.67618,-115.48307,2,2016/1/1,,,
119,3418,12.03448276,2,44.4137931,36.55172414,32.67618,-115.48307,2,2016/2/1,,,
120,3446,6.290322581,3.290322581,51,29.58064516,32.67618,-115.48307,3,2016/3/1,,,
121,3488,7.032258065,0.35483871,33.83870968,24.41935484,32.67618,-115.48307,0,2017/1/1,,,
122,3576,7.785714286,1.464285714,36.75,30.07142857,32.67618,-115.48307,0,2017/2/1,,,
123,3666,6.612903226,1.548387097,47.32258065,28.41935484,32.67618,-115.48307,2,2017/3/1,,,
124,3848,3.451612903,2.064516129,63.61290323,22.87096774,32.67618,-115.48307,0,2017/5/1,,,
125,3939,3.733333333,4.166666667,82.06666667,27.56666667,32.67618,-115.48307,3,2017/6/1,,,
126,4029,2.612903226,2.419354839,53.87096774,18.22580645,32.67618,-115.48307,1,2017/7/1,,,
127,4210,4.566666667,1.4,59.33333333,21.7,32.67618,-115.48307,5,2017/9/1,,,
128,4300,8.903225806,1.516129032,50.5483871,31.93548387,32.67618,-115.48307,0,2017/10/1,,,
129,4389,8.8,1.533333333,35.8,33.1,32.67618,-115.48307,4,2017/11/1,,,
130,4474,18.36666667,2.4,22.43333333,43.76666667,32.67618,-115.48307,2,2017/12/1,,,
131,4558,13.12903226,1.677419355,21.38709677,44.96774194,32.67618,-115.48307,2,2018/1/1,,,
132,4642,12.5,1.642857143,40.42857143,32.14285714,32.67618,-115.48307,4,2018/2/1,,,
133,4730,5.032258065,1.483870968,43.77419355,24.64516129,32.67618,-115.48307,0,2018/3/1,,,
134,4816,4.566666667,2.333333333,65.2,23.9,32.67618,-115.48307,4,2018/4/1,,,
135,4993,2.7,2.533333333,72.9,20.23333333,32.67618,-115.48307,1,2018/6/1,,,
136,5340,5.967741935,0.580645161,42.74193548,27.5483871,32.67618,-115.48307,5,2018/10/1,,,
137,5425,14.03333333,1.133333333,36.5,34.63333333,32.67618,-115.48307,3,2018/11/1,,,
138,5506,10.64516129,0.451612903,29.41935484,29.5483871,32.67618,-115.48307,4,2018/12/1,,,
139,5588,10.29032258,0.677419355,31.58064516,29.22580645,32.67618,-115.48307,3,2019/1/1,,,
140,5751,3.838709677,0.451612903,52.4516129,23.83870968,32.67618,-115.48307,1,2019/3/1,,,
141,5837,3.133333333,0.866666667,62.66666667,21.26666667,32.67618,-115.48307,3,2019/4/1,,,
142,5921,1.806451613,1.225806452,62.93548387,13.61290323,32.67618,-115.48307,2,2019/5/1,,,
143,6092,2.275862069,1.862068966,65.06896552,16.65517241,32.67618,-115.48307,4,2019/7/1,,,
144,6178,2.233333333,2.4,64.06666667,19.13333333,32.67618,-115.48307,4,2019/8/1,,,
145,6264,3.533333333,0.933333333,61.4,18.8,32.67618,-115.48307,2,2019/9/1,,,
146,6350,5.903225806,0.935483871,51.51612903,29.09677419,32.67618,-115.48307,4,2019/10/1,,,
147,6436,9.866666667,1.2,37.86666667,33.46666667,32.67618,-115.48307,4,2019/11/1,,,
148,4,29.64516129,10.32258065,18.53225806,48.9516129,32.84699264,-117.1169109,1,2000/1/1,,,
149,17,19.57894737,9.754385965,26.52631579,40.54385965,32.84699264,-117.1169109,0,2000/2/1,,,
150,606,14.18518519,8.925925926,38.66666667,38.77777778,32.84699264,-117.1169109,1,2003/3/1,,,
151,628,13.06896552,5.827586207,40.31034483,31.62068966,32.84699264,-117.1169109,2,2003/4/1,,,
152,650,13.86666667,6.566666667,45.43333333,30.53333333,32.84699264,-117.1169109,2,2003/5/1,,,
153,674,9.724137931,8.275862069,39.75862069,19.4137931,32.84699264,-117.1169109,0,2003/6/1,,,
154,699,10.5483871,7.483870968,34.03225806,28.70967742,32.84699264,-117.1169109,1,2003/7/1,,,
155,721,14.35483871,4.612903226,35.77419355,27.03225806,32.84699264,-117.1169109,1,2003/8/1,,,
156,742,13.2,5.566666667,40.43333333,31.26666667,32.84699264,-117.1169109,2,2003/9/1,,,
157,784,16.62962963,9.962962963,25.44444444,41.55555556,32.84699264,-117.1169109,2,2003/11/1,,,
158,796,21.72413793,12.13793103,22.17241379,46.65517241,32.84699264,-117.1169109,3,2003/12/1,,,
159,919,17.59259259,18.51851852,18.7037037,43.96296296,32.84699264,-117.1169109,0,2005/1/1,,,
160,928,16.65384615,12.30769231,23.26923077,45.11538462,32.84699264,-117.1169109,0,2005/2/1,,,
161,937,12.32258065,11.29032258,31.25806452,39.12903226,32.84699264,-117.1169109,0,2005/3/1,,,
162,946,13.6,12.5,36.13333333,42.33333333,32.84699264,-117.1169109,0,2005/4/1,,,
163,955,9.738095238,6.023809524,36.23809524,27.76190476,32.84699264,-117.1169109,0,2005/5/1,,,
164,964,7.1,7.266666667,31.48333333,24.66666667,32.84699264,-117.1169109,0,2005/6/1,,,
165,974,9.155172414,10.24137931,30.84482759,24.4137931,32.84699264,-117.1169109,1,2005/7/1,,,
166,983,10.43333333,6.4,34.3,28.31666667,32.84699264,-117.1169109,0,2005/8/1,,,
167,991,12.5,9.783333333,37.05,37.83333333,32.84699264,-117.1169109,0,2005/9/1,,,
168,999,13.64516129,12.08064516,35.20967742,43.82258065,32.84699264,-117.1169109,0,2005/10/1,,,
169,1007,19.54545455,13.66666667,28.06060606,51.18181818,32.84699264,-117.1169109,0,2005/11/1,,,
170,1015,21.21311475,14.54098361,19.6557377,48.24590164,32.84699264,-117.1169109,0,2005/12/1,,,
171,1294,15.59259259,6.296296296,22,44.2037037,32.84699264,-117.1169109,3,2010/1/1,,,
172,1309,8.826086957,0.739130435,29.7826087,29.26086957,32.84699264,-117.1169109,0,2010/2/1,,,
173,1321,8.777777778,1.111111111,38,35.72222222,32.84699264,-117.1169109,3,2010/3/1,,,
174,1335,6.826086957,0.565217391,43.34782609,23.73913043,32.84699264,-117.1169109,3,2010/4/1,,,
175,1350,5.451612903,1,38.22580645,22.96774194,32.84699264,-117.1169109,0,2010/5/1,,,
176,1365,5.724137931,0.068965517,34.10344828,14.34482759,32.84699264,-117.1169109,2,2010/6/1,,,
177,1381,4.47826087,0.304347826,30.7826087,16.13043478,32.84699264,-117.1169109,0,2010/7/1,,,
