State,County,City,Latitude,Longitude
Illinois,Champaign,Bondville,40.05278,-88.37250999999998
Illinois,Champaign,Thomasboro,40.244913000000004,-88.188519
Illinois,Clark,Not in a city,39.210857,-87.668297
Illinois,Cook,Alsip,41.670992,-87.732457
Illinois,Cook,Chicago,41.81767583333333,-87.68792004761906
Illinois,Cook,Cicero,41.855243,-87.75247
Illinois,Cook,Des Plaines,42.060285,-87.863225
Illinois,Cook,Evanston,42.062053000000006,-87.67525400000001
Illinois,Cook,Lansing,41.57862,-87.557406
Illinois,Cook,Lemont,41.66812,-87.99056999999998
Illinois,Cook,Northbrook,42.139996000000004,-87.799227
Illinois,Cook,Schiller Park,41.965193,-87.87626499999998
Illinois,DuPage,Lisle,41.813049,-88.07282699999998
Illinois,Effingham,Effingham,39.067159000000004,-88.548934
Illinois,Hamilton,Not in a city,38.082155,-88.624943
Illinois,Jersey,Jerseyville,39.105989,-90.334287
Illinois,Jo Daviess,Not in a city,42.2869,-89.9997
Illinois,Kane,Elgin,42.049148,-88.27302900000001
Illinois,La Salle,Oglesby,41.293015000000004,-89.049425
Illinois,Lake,Zion,42.467573,-87.810047
Illinois,Macon,Decatur,39.861628700000004,-88.92148513333332
Illinois,Macoupin,Nilwood,39.396075,-89.80973900000001
Illinois,Madison,Alton,38.890186,-90.148031
Illinois,Madison,Maryville,38.726573,-89.959963
Illinois,Madison,Not in a city,38.869001000000004,-89.622816
Illinois,Madison,Wood River,38.860669,-90.105851
Illinois,McHenry,Cary,42.221442,-88.242207
Illinois,McLean,Normal,40.518735,-88.99689599999998
Illinois,Monroe,Not in a city,38.15908,-90.22728000000001
Illinois,Peoria,Peoria,40.68742,-89.606943
Illinois,Peoria,Peoria Heights,40.745504,-89.58586899999999
Illinois,Randolph,Not in a city,38.176278,-89.78845899999997
Illinois,Rock Island,Rock Island Arsenal (U.S. Army),41.514727,-90.51735
Illinois,Saint Clair,East Saint Louis,38.612034,-90.160477
Illinois,Sangamon,Springfield,39.831522,-89.64092600000001
Illinois,Tazewell,Pekin,40.556459999999994,-89.654028
Illinois,Wabash,Mount Carmel,38.397789,-87.773853
Illinois,Will,Braidwood,41.221537,-88.190967
Illinois,Winnebago,Loves Park,42.334982000000004,-89.037775
Indiana,Allen,Fort Wayne,41.094965,-85.101816
Indiana,Allen,Leo-Cedarville,41.221418,-85.016821
Indiana,Bartholomew,Hope,39.294321999999994,-85.76681599999998
Indiana,Boone,Not in a city,39.997732,-86.395394
Indiana,Brown,Not in a city,39.263914,-86.29226899999998
Indiana,Carroll,Not in a city,40.540455,-86.553035
Indiana,Clark,Not in a city,38.393822,-85.664118
Indiana,Daviess,Not in a city,38.573253,-87.214613
Indiana,Delaware,Albany,40.300385,-85.245862
Indiana,Elkhart,Bristol,41.716959,-85.824696
Indiana,Floyd,New Albany,38.30703,-85.832974
Indiana,Gibson,Not in a city,38.392991,-87.748323
Indiana,Greene,Not in a city,38.985477,-86.99041899999999
Indiana,Hamilton,Noblesville,40.068296999999994,-85.992451
Indiana,Hendricks,Avon,39.758707,-86.3985
Indiana,Howard,Kokomo,40.481347,-86.10968799999998
Indiana,Huntington,Roanoke,40.959604,-85.37961
Indiana,Jackson,Not in a city,38.920835,-86.080523
Indiana,Johnson,Trafalgar,39.417243,-86.152363
Indiana,Knox,Not in a city,38.7408,-87.48530000000002
Indiana,LaPorte,La Porte,41.629167,-86.684444
Indiana,LaPorte,Michigan City,41.717762,-86.907786
Indiana,Lake,East Chicago,41.641259500000004,-87.44849449999998
Indiana,Lake,Gary,41.606667,-87.304722
Indiana,Lake,Hammond,41.639444,-87.493611
Indiana,Madison,Not in a city,40.002511,-85.656391
Indiana,Marion,Indianapolis,39.768056,-86.16
Indiana,Marion,Indianapolis (Remainder),39.78199837962964,-86.13957341666665
Indiana,Marion,Lawrence,39.858889000000005,-86.021389
Indiana,Morgan,Martinsville,39.514179,-86.391795
Indiana,Morgan,Monrovia,39.575634,-86.47789300000001
Indiana,Perry,Not in a city,38.115152,-86.60325
Indiana,Pike,Not in a city,38.518935,-87.248598
Indiana,Porter,Dune Acres,41.634104,-87.101452
Indiana,Porter,Not in a city,41.512118,-87.036236
Indiana,Porter,Ogden Dunes (Wickliffe),41.6175,-87.199167
Indiana,Porter,Portage,41.635404,-87.15056700000001
Indiana,Posey,Not in a city,38.00641,-87.71835399999998
Indiana,Shelby,Not in a city,39.613367,-85.87066899999998
Indiana,St. Joseph,Granger,41.754721999999994,-86.11
Indiana,St. Joseph,Not in a city,41.551667,-86.37055600000001
Indiana,St. Joseph,South Bend,41.696659999999994,-86.214722
Indiana,Vanderburgh,Evansville,37.995506500000005,-87.58702899999999
Indiana,Vanderburgh,Not in a city,38.113889,-87.53666700000001
Indiana,Vigo,Not in a city,39.558525,-87.312883
Indiana,Vigo,Terre Haute,39.4931805,-87.40293074999998
Indiana,Wabash,Not in a city,40.816038,-85.661408
Indiana,Warrick,Boonville,38.051667,-87.27805599999998
Indiana,Warrick,Not in a city,38.014458250000004,-87.32659924999999
Iowa,Bremer,Waverly,42.743036,-92.51324100000001
Iowa,Clinton,Clinton,41.849141,-90.19477800000001
Iowa,Harrison,Not in a city,41.806258500000006,-95.93831
Iowa,Linn,Cedar Rapids,41.9579705,-91.66517075
Iowa,Linn,Coggon,42.281013,-91.52687900000001
Iowa,Montgomery,Not in a city,40.969112,-95.044951
Iowa,Muscatine,Muscatine,41.40796205555555,-91.06724816666667
