year,month,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label
2019,1,10.86021505376344,2.666666666666666,27.845161290322586,36.17741935483871,33.476327220714296,-112.08775400362437,3
2019,1,5.316666666666666,0.1,30.62777777777778,23.25,32.202665163541695,-110.90862239999993,5
2019,1,4.548387096774194,2.3870967741935485,24.951612903225808,17.387096774193548,34.77607199999999,-92.27611724999998,1
2019,1,8.086021505376344,1.3225806451612903,22.338709677419356,27.33333333333334,37.78218988888889,-122.23441544444448,3
2019,1,6.559139784946237,3.236559139784946,24.741935483870968,17.655913978494624,37.96757466666664,-122.00829433333323,3
2019,1,8.741935483870968,0.0,22.79032258064516,25.97849462365592,36.79918776666667,-119.82130520000007,3
2019,1,4.193548387096774,0.0,21.0,7.419354838709677,40.77678,-124.17949,0
2019,1,10.290322580645162,0.6774193548387096,31.580645161290324,29.225806451612904,32.676180000000016,-115.48307000000008,3
2019,1,9.192090395480227,1.423728813559322,23.47457627118644,36.83050847457627,33.92796685875708,-118.26807011440667,3
2019,1,6.548387096774194,0.3548387096774194,27.870967741935484,29.129032258064516,33.99958000000001,-117.41600999999994,5
2019,1,6.354838709677419,0.3225806451612903,26.516129032258064,14.387096774193548,38.613779000000015,-121.36801400000004,0
2019,1,7.131147540983607,0.5737704918032787,29.131147540983605,27.885245901639344,34.308858868852425,-117.40741049180318,5
2019,1,7.161290322580645,0.0,32.903225806451616,22.129032258064516,32.78956500000002,-116.94430800000006,5
2019,1,3.5535714285714284,0.2857142857142857,32.625,6.035714285714286,34.56946025297618,-120.2173284858632,4
2019,1,9.370967741935484,0.1935483870967742,23.06451612903226,26.451612903225808,37.34331599999998,-121.87234050000005,3
2019,1,9.096774193548388,0.9354838709677419,23.612903225806452,22.903225806451612,38.10250700000003,-122.23797599999992,3
2019,1,8.166666666666666,2.966666666666667,23.833333333333332,44.233333333333334,39.838119,-104.94984000000007,2
2019,1,9.629032258064516,3.5161290322580645,22.79032258064516,47.20967741935484,39.76194955555556,-104.99868600694438,2
2019,1,4.0,0.20689655172413793,25.724137931034484,26.17241379310345,41.30140000000004,-72.90287099999999,1
2019,1,3.25,0.6666666666666666,19.833333333333332,22.916666666666668,39.739444,-75.55805600000004,1
2019,1,5.758064516129032,1.6290322580645162,21.19354838709678,25.620967741935484,38.9175716458333,-76.98522347916666,1
2019,1,7.612903225806452,3.629032258064516,31.93548387096775,20.451612903225808,30.338006500000002,-81.63100799242422,5
2019,1,5.516129032258065,2.9193548387096775,31.838709677419356,21.35483870967742,27.907960214285712,-82.46654657142864,5
2019,1,2.806451612903226,0.06451612903225806,34.774193548387096,11.67741935483871,28.596389000000016,-81.36250000000001,5
2019,1,3.5161290322580645,1.5483870967741935,32.96774193548387,13.435483870967742,27.823511875000005,-82.68271050000004,5
2019,1,4.935483870967742,0.3870967741935484,24.967741935483872,20.774193548387096,33.68780000000001,-84.29050000000005,1
2019,1,1.1666666666666667,5.622222222222222,33.3,14.166666666666666,21.343952000000016,-158.09625112499995,4
2019,1,2.7580645161290325,0.41935483870967744,23.032258064516128,17.806451612903224,39.78199837962962,-86.13957341666669,1
2019,1,4.645161290322581,2.6774193548387095,25.35483870967742,13.0,37.995506500000005,-87.58702899999996,1
2019,1,6.5,3.125,20.125,23.625,39.117219,-94.635605,1
2019,1,3.5161290322580645,1.6720430107526882,25.677419354838708,20.06451612903226,38.16496621212125,-85.74386939393936,1
2019,1,3.3548387096774195,2.806451612903226,26.64516129032258,26.29032258064516,30.484067299999996,-91.19691749999997,5
2019,1,2.7096774193548385,0.0,31.580645161290324,8.612903225806452,46.69643100000001,-68.03300600000006,4
2019,1,3.9285714285714284,0.17857142857142858,29.357142857142858,22.428571428571427,43.66024600000001,-70.268965,1
2019,1,4.633333333333334,2.8,27.1,23.366666666666667,39.29742475000002,-76.44198299999998,1
2019,1,2.5517241379310347,0.3448275862068966,26.310344827586206,18.655172413793103,39.05527700000001,-76.87833300000005,1
2019,1,3.725806451612903,0.16129032258064516,26.129032258064516,26.107526881720432,42.334519666666665,-71.078608,1
2019,1,4.32258064516129,0.0967741935483871,27.64516129032258,24.741935483870968,42.269137,-71.83491649999998,1
2019,1,3.28,0.2,29.96,14.08,32.3379165,-90.20419450000003,5
2019,1,3.7096774193548385,3.5806451612903225,24.193548387096776,21.532258064516128,38.65032594444445,-90.2396194444445,1
2019,1,10.6,2.4,25.5,33.733333333333334,36.14187500000002,-115.07874200000005,3
2019,1,6.225806451612903,0.7741935483870968,26.344086021505376,31.225806451612904,39.47678700000004,-119.7809239333333,3
2019,1,2.347826086956522,0.6521739130434783,31.26086956521739,9.26086956521739,42.862531,-71.38014,4
2019,1,4.709677419354839,0.7096774193548387,23.35483870967742,27.129032258064516,39.934559000000014,-75.125219,1
2019,1,6.096774193548387,0.1935483870967742,23.677419354838708,36.064516129032256,40.720989,-74.19289200000001,1
2019,1,5.290322580645161,1.7096774193548387,32.61290322580645,29.193548387096776,35.159750000000024,-106.54667500000004,5
2019,1,4.709677419354839,1.7096774193548387,21.5,28.870967741935484,40.84195,-73.89004500000006,1
2019,1,3.25,0.21428571428571427,29.428571428571427,18.785714285714285,43.1455965,-77.552725,1
2019,1,4.741935483870968,1.8064516129032258,24.548387096774192,30.177419354838708,40.737701999999985,-73.81961199999996,1
2019,1,5.403225806451613,0.3548387096774194,27.516129032258064,20.322580645161292,35.239258875000004,-80.80980662499998,1
2019,1,5.0,0.4838709677419355,30.387096774193548,16.806451612903224,35.85611100000003,-78.57416700000003,1
