,State,County,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date
111,Oklahoma,Cherokee,0.7586206896551724,0.4137931034482759,36.72413793103448,8.137931034482758,35.854079999999975,-94.98596399999998,0,2000-06-01
112,Pennsylvania,Beaver,0.16666666666666666,27.93333333333333,60.16666666666666,28.966666666666665,40.747796000000015,-80.31644200000002,2,2000-06-01
113,Pennsylvania,Blair,1.3666666666666667,19.53333333333333,51.93333333333333,25.13333333333333,40.53527800000004,-78.37083299999995,2,2000-06-01
114,Pennsylvania,Bucks,9.368421052631579,20.36842105263158,75.52631578947368,31.684210526315788,40.10722199999999,-74.88222199999998,1,2000-06-01
115,Pennsylvania,Lancaster,3.433333333333333,14.333333333333336,63.5,20.933333333333334,40.04666699999999,-76.28333300000001,2,2000-06-01
116,Pennsylvania,Lawrence,7.392857142857142,31.285714285714285,43.53571428571429,30.75,40.995848000000024,-80.34644200000002,3,2000-06-01
117,Pennsylvania,Montgomery,2.1333333333333333,10.666666666666666,75.86666666666666,25.2,40.112221999999974,-75.30916699999995,2,2000-06-01
118,Pennsylvania,Northampton,4.7,10.0,66.0,25.16666666666667,40.62805600000001,-75.34111099999998,2,2000-06-01
119,Pennsylvania,Philadelphia,6.7333333333333325,19.33333333333333,39.43333333333333,39.36666666666667,40.01187210964915,-75.08461068421047,3,2000-06-01
120,Texas,Dallas,4.888888888888889,2.2222222222222223,34.166666666666664,25.5,32.84057277272727,-96.82800865909095,0,2000-06-01
121,Texas,El Paso,6.315789473684211,2.3157894736842106,51.526315789473685,19.105263157894736,31.787431996794872,-106.44272625961544,0,2000-06-01
122,Texas,Harris,4.333333333333333,20.633333333333333,24.8,18.4,29.744600634300586,-95.3556731271578,0,2000-06-01
123,Arizona,Maricopa,10.06896551724138,5.379310344827586,51.48275862068966,43.06896551724138,33.4763272207143,-112.08775400362437,1,2000-07-01
124,Arizona,Pima,3.7096774193548394,3.129032258064516,53.67741935483871,26.903225806451612,32.202665163541695,-110.9086224000001,1,2000-07-01
125,California,Contra Costa,4.505376344086022,4.784946236559139,29.946236559139784,13.838709677419354,37.96757466666668,-122.00829433333332,2,2000-07-01
126,California,Imperial,7.903225806451613,5.193548387096773,52.096774193548384,24.580645161290327,32.676180000000016,-115.48307000000008,1,2000-07-01
127,California,San Diego,6.712643678160919,9.413793103448276,30.48275862068965,20.931034482758623,32.77011597445721,-117.09630731289892,1,2000-07-01
128,California,San Francisco,5.612903225806452,3.2580645161290325,16.06451612903226,13.64516129032258,37.76594599999999,-122.39904399999986,2,2000-07-01
129,California,Santa Barbara,2.411290322580645,1.5564516129032258,32.82258064516129,6.741935483870968,34.55068454166664,-120.23445980208359,2,2000-07-01
130,California,Solano,4.290322580645161,3.2580645161290325,19.83870967741936,12.93548387096774,38.10250700000003,-122.23797599999992,2,2000-07-01
131,California,Ventura,2.419354838709677,4.774193548387096,36.2258064516129,14.93548387096774,34.252390000000005,-119.14318199999992,2,2000-07-01
132,Kentucky,Daviess,0.0,14.285714285714285,60.0,18.285714285714285,37.780776,-87.07530699999998,0,2000-07-01
133,Kentucky,McCracken,2.875,10.875,66.4375,23.75,37.05822,-88.57250999999998,0,2000-07-01
134,Louisiana,East Baton Rouge,10.225806451612904,20.29032258064516,72.2258064516129,29.87096774193548,30.4840673,-91.19691749999996,3,2000-07-01
135,New York,Bronx,7.741935483870968,17.032258064516128,35.516129032258064,42.70967741935485,40.84195,-73.89004500000007,0,2000-07-01
136,North Carolina,Mecklenburg,8.133333333333333,13.3,71.0,29.73333333333333,35.23925887500001,-80.80980662499998,3,2000-07-01
137,Oklahoma,Cherokee,0.4444444444444444,0.3888888888888889,49.5,13.333333333333336,35.85408,-94.98596399999998,0,2000-07-01
138,Oklahoma,Kay,3.08,10.0,71.0,13.08,36.697186,-97.08134999999996,0,2000-07-01
139,Pennsylvania,Beaver,2.3548387096774195,31.12903225806452,54.32258064516129,24.774193548387093,40.74779600000002,-80.31644200000001,0,2000-07-01
140,Pennsylvania,Blair,0.5357142857142857,10.535714285714286,43.25,20.714285714285715,40.53527800000004,-78.37083299999995,0,2000-07-01
141,Pennsylvania,Lancaster,3.2580645161290325,14.290322580645164,47.516129032258064,19.580645161290324,40.046667,-76.283333,0,2000-07-01
142,Pennsylvania,Lawrence,6.965517241379311,24.75862068965517,42.48275862068965,29.27586206896552,40.995848000000024,-80.34644200000002,0,2000-07-01
143,Pennsylvania,Montgomery,1.3225806451612905,8.548387096774192,60.161290322580655,27.806451612903228,40.112221999999974,-75.30916699999995,0,2000-07-01
144,Pennsylvania,Northampton,5.096774193548387,13.32258064516129,49.25806451612904,24.064516129032263,40.62805600000001,-75.341111,0,2000-07-01
145,Pennsylvania,Philadelphia,5.935483870967742,14.0,35.548387096774185,30.967741935483872,40.01187210964915,-75.08461068421047,0,2000-07-01
146,Texas,Dallas,5.0,1.0,97.0,24.0,32.84057277272728,-96.82800865909093,1,2000-07-01
147,Texas,El Paso,7.0,2.9473684210526314,64.36842105263158,32.68421052631579,31.787431996794872,-106.44272625961544,1,2000-07-01
148,Texas,Harris,4.741935483870968,36.645161290322584,53.903225806451616,22.483870967741932,29.744600634300586,-95.3556731271578,3,2000-07-01
149,Arizona,Maricopa,7.225806451612903,4.193548387096774,66.0,43.70967741935484,33.476327220714296,-112.08775400362437,1,2000-08-01
150,Arizona,Pima,4.142857142857143,2.4642857142857144,64.57142857142857,22.178571428571423,32.202665163541695,-110.90862240000007,1,2000-08-01
151,California,Contra Costa,5.172043010752689,5.215053763440861,34.72043010752688,18.225806451612907,37.96757466666668,-122.00829433333332,2,2000-08-01
152,California,Imperial,8.892857142857142,3.8571428571428568,53.67857142857143,24.214285714285715,32.676180000000016,-115.48307000000008,1,2000-08-01
153,California,San Diego,10.804347826086957,14.804347826086955,29.23913043478261,26.967391304347824,32.77429405404589,-117.09742707095388,1,2000-08-01
154,California,San Francisco,7.935483870967742,4.387096774193549,17.483870967741936,21.29032258064516,37.76594599999999,-122.39904399999986,2,2000-08-01
155,California,Santa Barbara,2.7338709677419355,2.475806451612903,35.62903225806452,8.209677419354838,34.55068454166664,-120.23445980208359,2,2000-08-01
156,California,Solano,5.612903225806452,4.064516129032258,23.548387096774192,15.93548387096774,38.10250700000003,-122.23797599999992,2,2000-08-01
157,California,Ventura,3.548387096774193,5.806451612903227,38.064516129032256,20.0,34.252390000000005,-119.14318199999992,2,2000-08-01
158,Kentucky,Daviess,0.15384615384615385,24.115384615384613,50.230769230769226,19.384615384615387,37.78077600000002,-87.07530700000002,0,2000-08-01
