State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
Ohio,Cuyahoga,41.50370795,-81.6600582,20.01575294,33.10296302,0.744977691,4.388765314,2020/5/1
Ohio,Hamilton,39.13672729,-84.51977688,22.27787612,37.71394677,0,4.339100152,2020/5/1
Oklahoma,Adair,35.750735,-94.669697,4.840627682,30.57729845,1.60182315,2.019692693,2020/5/1
Oklahoma,Cherokee,35.85408,-94.985964,12.85079715,40.57563462,5.736116095,0.9133419,2020/5/1
Oklahoma,Kay,36.697186,-97.08135,8.824040482,44.81086997,31.59141385,1.388822544,2020/5/1
Oklahoma,Oklahoma,35.53141233,-97.515791,16.03514342,42.23792447,0,5.871689134,2020/5/1
Oklahoma,Ottawa,36.922222,-94.838889,15.96993441,53.86061824,0.86687997,0.241112505,2020/5/1
Oklahoma,Tulsa,36.1635968,-95.96252903,13.96066618,39.01468271,0,3.466381164,2020/5/1
Oregon,Multnomah,45.5196515,-122.5973489,17.2707413,17.32311762,0,5.612275493,2020/5/1
Pennsylvania,Adams,39.92156,-77.30874,5.812796064,31.18035722,0.268317871,1.358029651,2020/5/1
Pennsylvania,Allegheny,40.4543935,-79.975525,16.37628853,38.65202682,4.313205388,4.345931418,2020/5/1
Pennsylvania,Beaver,40.747796,-80.316442,27.69693152,25.35136111,30.87543006,3.772409267,2020/5/1
Pennsylvania,Berks,40.448715,-75.8791605,13.82913331,40.07948745,5.64516129,0.749311446,2020/5/1
Pennsylvania,Blair,40.535278,-78.370833,17.30937407,31.89202163,18.29411986,5.548387097,2020/5/1
Pennsylvania,Bucks,40.107222,-74.882222,14.58919081,42.27600483,6.207652491,3.283518808,2020/5/1
Pennsylvania,Cambria,40.309722,-78.915,18.35483871,27.4019959,0,2.362147066,2020/5/1
Pennsylvania,Dauphin,40.246992,-76.846988,23.88217164,34.84182506,6.208883236,4.799253286,2020/5/1
Pennsylvania,Erie,42.14175,-80.038611,13.17520867,41.45397683,0.54483788,1.516044577,2020/5/1
Pennsylvania,Lackawanna,41.442778,-75.623056,21.49213777,31.65063241,5.009117582,3.020422524,2020/5/1
Pennsylvania,Lancaster,40.046667,-76.283333,19.48898431,28.36591907,16.3013166,4.16834041,2020/5/1
Pennsylvania,Lawrence,40.995848,-80.346442,20.41888848,26.6909106,29.54719907,3.674117539,2020/5/1
Pennsylvania,Luzerne,41.265556,-75.846389,21.76005828,33.11127639,9.372206389,3.072372884,2020/5/1
Pennsylvania,Montgomery,40.112222,-75.309167,27.24432534,26.07615558,9.536284609,1.755566879,2020/5/1
