State,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Iowa,2010-10-31,9.416880459016395,20.493442622950823,13.59016393442623,19.147540983606557,0.022553983606557363,0.03493442622950819,9.80327868852459,29.639344262295083,0.5110168196721311,1.1803278688524588,11.491803278688524,,0.2498340491803278,0.39344262295081966,7.459016393442623,4.344262295081967,41.60896946721316,-92.07363348360643
Iowa,2011-01-31,10.72659727586207,20.186206896551727,9.89655172413793,18.620689655172413,0.024123551724137934,0.029413793103448296,11.793103448275861,25.0,0.49162562068965526,1.2931034482758623,9.448275862068966,,0.20531610344827586,0.2379310344827587,2.8275862068965516,2.4482758620689653,41.6145925,-90.5547775
Iowa,2011-02-28,10.421059214285714,23.696428571428573,13.214285714285714,21.928571428571427,0.029197357142857153,0.03646428571428573,10.535714285714286,30.964285714285715,1.6172406071428571,4.082142857142857,11.964285714285714,,0.2019345,0.2535714285714286,4.607142857142857,2.642857142857143,41.6145925,-90.5547775
Iowa,2011-03-31,8.90928828125,19.984374999999996,12.375,18.34375,0.02852040625,0.03740625000000001,10.8125,31.78125,1.2484561249999997,2.718750000000001,12.125,,0.20989584375000006,0.2406250000000001,2.1875,2.5,41.614235203125006,-90.651288140625
Iowa,2011-04-30,6.4351254150943396,15.007547169811321,12.30188679245283,13.81132075471698,0.03353692452830189,0.04171698113207546,10.0,35.39622641509434,0.42301439622641523,0.8943396226415092,12.132075471698114,,0.21242137735849048,0.2566037735849056,4.471698113207547,2.6792452830188678,41.6081207075472,-92.30289476415086
Iowa,2011-05-31,6.057117500000004,14.904838709677417,11.983870967741936,13.64516129032258,0.0332157258064516,0.04449999999999998,11.241935483870968,37.903225806451616,0.400472370967742,1.0354838709677419,10.419354838709678,,0.20654935483870956,0.24032258064516127,2.564516129032258,2.4193548387096775,41.608875750000045,-92.09894774999987
Iowa,2011-06-30,5.708808542372879,14.277966101694915,10.288135593220339,13.084745762711865,0.033609474576271184,0.04459322033898304,9.864406779661017,38.779661016949156,0.3469006949152542,0.747457627118644,12.474576271186441,,0.2190089322033898,0.2779661016949153,3.76271186440678,2.9661016949152543,41.60897264406784,-92.07277537288122
Iowa,2011-07-31,6.123318999999998,14.630645161290317,12.129032258064516,13.32258064516129,0.03403593548387099,0.04738709677419354,10.03225806451613,40.70967741935484,0.3545775483870969,0.9161290322580645,8.629032258064516,,0.2116935483870967,0.2580645161290322,2.9838709677419355,2.6774193548387095,41.608875750000045,-92.09894774999987
Iowa,2011-08-31,6.516829209677419,15.83064516129032,12.14516129032258,14.451612903225806,0.027213016129032264,0.0406774193548387,9.903225806451612,34.66129032258065,0.3320583870967741,0.8435483870967742,8.82258064516129,,0.19952954838709677,0.26774193548387093,4.419354838709677,2.7903225806451615,41.608875750000045,-92.09894774999987
Iowa,2011-09-30,6.520377185185184,15.124074074074075,14.37037037037037,13.796296296296296,0.021429074074074076,0.03298148148148148,9.74074074074074,28.62962962962963,0.14467812962962961,0.412962962962963,9.777777777777779,,0.19894551851851855,0.29814814814814816,5.703703703703703,3.240740740740741,41.60951094444449,-91.9273732777777
Iowa,2011-10-31,9.773044314285716,21.748571428571434,13.0,20.114285714285714,0.022687285714285722,0.033457142857142866,9.485714285714286,28.285714285714285,0.2125986,0.6885714285714285,9.571428571428571,1.2,0.22833328571428568,0.38285714285714284,6.8,4.3428571428571425,41.60707905714288,-92.58425839999998
Iowa,2011-11-30,7.713251250000001,15.035,15.2,13.75,0.017699950000000002,0.02480000000000001,9.35,21.05,0.50988635,2.04,13.7,3.142857142857143,0.18313780000000004,0.23620000000000002,6.0,2.3684210526315788,41.61459249999999,-90.5547775
