State,Date Local,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
District Of Columbia,2019-06-30,0.26666661666666674,0.375,4.9,4.216666666666667,0.5048472833333333,0.8183333333333332,6.533333333333333,0.45,0.03845335555555556,0.04870000000000001,10.099999999999998,49.12222222222222,7.62089522222222,16.339444444444442,12.119444444444444,14.916666666666666,38.9175716458333,-76.98522347916668
District Of Columbia,2019-07-31,0.2892524354838711,0.4145161290322581,6.064516129032258,4.725806451612903,0.5640582580645161,0.9935483870967741,8.387096774193548,0.7258064516129032,0.03873994086021506,0.051741935483870974,9.94086021505376,53.37096774193547,7.93990694623656,17.03790322580645,11.336021505376342,15.704301075268818,38.9175716458333,-76.98522347916666
District Of Columbia,2019-08-31,0.28586495161290315,0.3951612903225807,6.983870967741935,4.483870967741935,0.5317823225806453,1.0774193548387097,8.016129032258064,0.7419354838709677,0.03800276881720431,0.050145161290322586,9.96774193548387,52.17204301075268,8.205860387096774,17.64193548387097,9.556451612903226,16.201612903225808,38.9175716458333,-76.98522347916666
District Of Columbia,2019-09-30,0.29387895,0.3983333333333334,6.8,4.533333333333333,0.5717671499999999,1.0266666666666666,8.383333333333333,0.6833333333333333,0.036507055555555556,0.048233333333333336,10.355555555555556,47.48888888888889,9.423989058333335,19.120000000000005,11.616666666666667,17.566666666666666,38.9175716458333,-76.98522347916668
District Of Columbia,2019-10-31,0.2767473225806451,0.39677419354838717,7.629032258064516,4.451612903225806,0.5167858064516129,1.0338709677419355,8.161290322580646,0.8064516129032258,0.027255618279569894,0.03490322580645162,10.8494623655914,32.32258064516129,9.97673625,19.91290322580645,11.798387096774194,18.370967741935484,38.9175716458333,-76.98522347916666
District Of Columbia,2019-11-30,0.3491993666666666,0.5616666666666666,7.5,6.333333333333333,0.6060973333333334,1.621666666666667,10.0,1.3666666666666667,0.02031988333333333,0.027694444444444435,9.900000000000002,25.683333333333334,14.318432000000001,26.580833333333338,13.333333333333334,24.633333333333333,38.9175716458333,-76.98522347916668
District Of Columbia,2019-12-31,0.4227981129032257,0.6451612903225806,7.758064516129032,7.306451612903226,0.7797878709677419,1.7161290322580647,9.241935483870968,1.7580645161290323,0.01541666666666667,0.022172043010752693,12.118279569892474,20.591397849462364,17.269911782258067,28.748387096774195,10.838709677419354,26.677419354838708,38.9175716458333,-76.98522347916666
Florida,2017-01-31,0.26772826343283584,0.3683582089552238,6.113432835820896,4.158955223880597,0.48309516980197986,1.9298019801980197,9.63019801980198,2.478712871287129,0.02906664367816089,0.037137714161786795,11.105400130123618,34.35100845803513,8.415229141114985,18.41405342624854,11.836817653890826,17.04239256678281,28.297384106674855,-82.25705040256929
Florida,2017-02-28,0.2623896609477125,0.3648692810457515,5.155228758169935,4.13562091503268,0.582418544146825,2.3312996031746045,11.007936507936508,2.8859126984126986,0.03332748750300412,0.04241083874068709,11.124008651766403,39.471040615236724,9.6752123154321,21.5632098765432,11.272222222222224,19.94197530864197,28.346709038423153,-82.27572524133316
Florida,2017-03-31,0.24938382035928136,0.32567365269461035,5.441616766467066,3.644461077844311,0.6346883224826397,2.072135416666666,11.284722222222221,2.3090277777777777,0.03916226062567422,0.04691413160733545,10.967098166127293,44.40194174757281,7.449928140979691,18.313142174432485,9.694743130227002,16.918757467144566,28.32923555720452,-82.25954293682622
